,player_name,match_no,season,base_team_name,vs_team,mvp_status,debut_status,player_tag,player_status,bat_runs,bat_number_of_balls,bat_No_of_fours,bat_No_of_sixs,bat_strike_rate,did_not_bat_status,fall_of_wicket_status
0,Parthiv Patel,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Sangakkara b Lee,15,10,3,0,150.00,no,1-26 (Parthiv Patel
1,Matthew Hayden,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,b Pathan,25,17,4,1,147.05,no,2-57 (Matthew Hayden
2,Michael Hussey,2,2007/08,Chennai Super Kings,Kings XI Punjab,yes,no,normal,not out,116,54,8,9,214.81,no,na
3,MS Dhoni,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,['(c)\x86'],lbw b Hopes,2,3,0,0,66.66,no,3-62 (MS Dhoni
4,Suresh Raina,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Pathan b Mota,32,13,2,3,246.15,no,4-128 (Suresh Raina
5,Jacob Oram,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,b Pathan,13,10,0,1,130.00,no,5-167 (Jacob Oram
6,S Badrinath,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,not out,31,14,3,2,221.42,no,na
7,Parthiv Patel,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Ronchi b Nehra,14,11,3,0,127.27,no,1-34 (Parthiv Patel
8,Matthew Hayden,8,2007/08,Chennai Super Kings,Mumbai Indians,yes,no,normal,run out (Harbhajan Singh),81,46,12,2,176.08,no,4-194 (Matthew Hayden
9,Michael Hussey,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,b Kulkarni,5,9,1,0,55.55,no,2-39 (Michael Hussey
10,Suresh Raina,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Bravo b Khote,53,37,3,3,143.24,no,3-143 (Suresh Raina
11,MS Dhoni,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,['(c)\x86'],c Bravo b Khote,30,16,4,1,187.50,no,5-206 (MS Dhoni
12,Jacob Oram,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,not out,5,2,1,0,250.00,no,na
13,S Badrinath,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,not out,2,1,0,0,200.00,no,na
14,Parthiv Patel,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,normal,c Sharma b Agarkar,21,27,3,0,77.77,no,na
15,Matthew Hayden,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,normal,not out,70,49,6,3,142.85,no,na
16,MS Dhoni,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,['(c)\x86'],not out,43,27,3,2,159.25,no,na
17,Parthiv Patel,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Kallis b Kumar,21,17,2,1,123.52,no,2-42 (Parthiv Patel
18,Matthew Hayden,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,b Khan,13,19,2,0,68.42,no,1-22 (Matthew Hayden
19,Michael Hussey,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Dravid b Khan,47,37,3,2,127.02,no,5-178 (Michael Hussey
20,Suresh Raina,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,run out (Jaffer/Boucher),28,17,1,2,164.70,no,3-83 (Suresh Raina
21,MS Dhoni,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,yes,no,['(c)\x86'],c sub (R Vinay Kumar) b Khan,65,30,9,3,216.66,no,4-178 (MS Dhoni
22,Jacob Oram,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,not out,0,0,0,0,-,no,na
23,Parthiv Patel,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Mahesh b Sehwag,21,20,3,0,105.00,no,2-65 (Parthiv Patel
24,Stephen Fleming,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,b Mahesh,13,13,2,0,100.00,no,1-23 (Stephen Fleming
25,Vidyut Sivaramakrishnan,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Mahesh b McGrath,54,37,7,1,145.94,no,3-122 (Vidyut Sivaramakrishnan
26,MS Dhoni,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,['(c)\x86'],c Shoaib Malik b Mohammad Asif,32,27,2,1,118.51,no,4-137 (MS Dhoni
27,Albie Morkel,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Sehwag b Bhatia,28,16,3,2,175.00,no,6-163 (Albie Morkel
28,Suresh Raina,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,run out (Sangwan),3,4,0,0,75.00,no,5-145 (Suresh Raina
29,S Badrinath,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,not out,11,5,0,1,220.00,no,na
30,Joginder Sharma,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,not out,0,0,0,0,-,no,na
31,Parthiv Patel,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,lbw b Sohail Tanvir,0,1,0,0,0.00,no,1-0 (Parthiv Patel
32,Stephen Fleming,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,lbw b Sohail Tanvir,0,2,0,0,0.00,no,2-1 (Stephen Fleming
33,Vidyut Sivaramakrishnan,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Warne b Sohail Tanvir,5,10,1,0,50.00,no,3-11 (Vidyut Sivaramakrishnan
34,Suresh Raina,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Sohail Tanvir b Patel,27,27,2,0,100.00,no,6-88 (Suresh Raina
35,S Badrinath,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c & b Watson,15,14,3,0,107.14,no,4-38 (S Badrinath
36,MS Dhoni,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,['(c)\x86'],c Smith b Warne,1,7,0,0,14.28,no,5-44 (MS Dhoni
37,Albie Morkel,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,b Sohail Tanvir,42,33,4,1,127.27,no,8-96 (Albie Morkel
38,Joginder Sharma,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Sohail Tanvir b Patel,0,1,0,0,0.00,no,7-91 (Joginder Sharma
39,Manpreet Gony,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,not out,1,4,0,0,25.00,no,na
40,Muthiah Muralidaran,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,b Sohail Tanvir,0,3,0,0,0.00,no,9-96 (Muthiah Muralidaran
41,Makhaya Ntini,24,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,b Sohail Tanvir,11,12,2,0,91.66,no,10-109 (Makhaya Ntini
42,Parthiv Patel,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Singh b Vijaykumar,4,6,1,0,66.66,no,1-4 (Parthiv Patel
43,Stephen Fleming,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Sharma b Styris,14,16,2,0,87.50,no,3-33 (Stephen Fleming
44,Srikkanth Anirudha,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Shahid Afridi b Singh,1,7,0,0,14.28,no,2-15 (Srikkanth Anirudha
45,Suresh Raina,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Sharma b Bangar,32,21,5,0,152.38,no,5-82 (Suresh Raina
46,S Badrinath,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Gibbs b Shahid Afridi,0,4,0,0,0.00,no,4-43 (S Badrinath
47,MS Dhoni,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,['(c)\x86'],c Shahid Afridi b Ojha,23,31,2,0,74.19,no,6-86 (MS Dhoni
48,Albie Morkel,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,not out,29,19,1,2,152.63,no,na
49,Joginder Sharma,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,b Singh,16,10,1,1,160.00,no,7-124 (Joginder Sharma
50,Manpreet Gony,26,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,not out,15,6,0,2,250.00,no,na
51,Vidyut Sivaramakrishnan,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Dhawan b Sangwan,40,23,6,1,173.91,no,na
52,Stephen Fleming,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c de Villiers b Mohammad Asif,44,28,7,0,157.14,no,na
53,MS Dhoni,28,2007/08,Chennai Super Kings,Delhi Daredevils,yes,no,['(c)\x86'],c de Villiers b Mahesh,33,33,3,0,100.00,no,na
54,Suresh Raina,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Tiwary b Sangwan,1,2,0,0,50.00,no,na
55,Albie Morkel,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,run out (Sehwag),30,15,2,3,200.00,no,na
56,Chamara Kapugedera,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,c Dhawan b Mahesh,8,9,0,0,88.88,no,na
57,S Badrinath,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,not out,8,5,1,0,160.00,no,na
58,Manpreet Gony,28,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,normal,not out,13,5,1,1,260.00,no,na
59,Vidyut Sivaramakrishnan,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Jayawardene b Sreesanth,8,4,2,0,200.00,no,1-10 (Vidyut Sivaramakrishnan
60,Stephen Fleming,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Goel b Sreesanth,1,4,0,0,25.00,no,2-20 (Stephen Fleming
61,Suresh Raina,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Marsh b Chawla,26,17,4,0,152.94,no,3-64 (Suresh Raina
62,S Badrinath,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Yuvraj Singh b Singh,64,47,6,3,136.17,no,4-155 (S Badrinath
63,MS Dhoni,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,['(c)\x86'],not out,60,43,2,4,139.53,no,na
64,Albie Morkel,31,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,not out,7,6,0,0,116.66,no,na
65,Vidyut Sivaramakrishnan,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Raje b Pollock,16,11,3,0,145.45,no,1-18 (Vidyut Sivaramakrishnan
66,Stephen Fleming,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,b Kulkarni,26,29,4,0,89.65,no,3-46 (Stephen Fleming
67,Suresh Raina,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Takawale b Bravo,1,6,0,0,16.66,no,2-28 (Suresh Raina
68,S Badrinath,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c & b Bravo,53,33,7,2,160.60,no,5-141 (S Badrinath
69,Chamara Kapugedera,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Takawale b Kulkarni,0,2,0,0,0.00,no,4-46 (Chamara Kapugedera
70,MS Dhoni,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,['(c)\x86'],not out,43,35,6,1,122.85,no,na
71,Albie Morkel,36,2007/08,Chennai Super Kings,Mumbai Indians,no,no,normal,c Uthappa b Kulkarni,5,4,1,0,125.00,no,6-156 (Albie Morkel
72,Parthiv Patel,41,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,normal,not out,19,28,2,0,67.85,no,na
73,Stephen Fleming,41,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,normal,not out,32,20,6,0,160.00,no,na
74,Parthiv Patel,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,['\x86'],c & b Kumble,24,29,4,0,82.75,no,na
75,Stephen Fleming,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Akhil b Kumble,45,40,3,2,112.50,no,na
76,MS Dhoni,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,['(c)'],c Kumble b Vinay Kumar,4,8,0,0,50.00,no,na
77,Suresh Raina,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,not out,21,20,2,0,105.00,no,na
78,S Badrinath,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,lbw b Kumble,1,3,0,0,33.33,no,na
79,Albie Morkel,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Vinay Kumar b Steyn,1,5,0,0,20.00,no,na
80,Vidyut Sivaramakrishnan,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Kallis b Steyn,0,3,0,0,0.00,no,na
81,Manpreet Gony,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,c Steyn b Kumar,4,4,1,0,100.00,no,na
82,Lakshmipathy Balaji,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,run out (Dravid/Goswami),0,4,0,0,0.00,no,na
83,Makhaya Ntini,46,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,normal,not out,0,6,0,0,0.00,no,na
84,Parthiv Patel,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,['\x86'],st Kamran Akmal b Warne,54,40,5,2,135.00,no,na
85,Stephen Fleming,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,run out (Sohail Tanvir/Kamran Akmal),7,4,0,1,175.00,no,na
86,Suresh Raina,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Kaif b Warne,45,24,6,2,187.50,no,na
87,Albie Morkel,49,2007/08,Chennai Super Kings,Rajasthan Royals,yes,no,normal,c sub (RA Jadeja) b Sohail Tanvir,71,40,6,4,177.50,no,na
88,MS Dhoni,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,['(c)'],c Kaif b Sohail Tanvir,12,8,2,0,150.00,no,na
89,S Badrinath,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Kohli b Patel,1,2,0,0,50.00,no,na
90,Manpreet Gony,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,not out,2,4,0,0,50.00,no,na
91,Abhinav Mukund,49,2007/08,Chennai Super Kings,Rajasthan Royals,no,yes,normal,b Sohail Tanvir,0,1,0,0,0.00,no,na
92,Parthiv Patel,54,2007/08,Chennai Super Kings,Deccan Chargers,no,no,['\x86'],c Shahid Afridi b Sarvesh Kumar,20,27,3,0,74.07,no,na
93,Stephen Fleming,54,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,c Gilchrist b Vijaykumar,14,9,3,0,155.55,no,na
94,Suresh Raina,54,2007/08,Chennai Super Kings,Deccan Chargers,yes,no,normal,not out,54,43,5,2,125.58,no,na
95,MS Dhoni,54,2007/08,Chennai Super Kings,Deccan Chargers,no,no,['(c)'],c Gibbs b Ojha,37,25,4,1,148.00,no,na
96,Albie Morkel,54,2007/08,Chennai Super Kings,Deccan Chargers,no,no,normal,not out,12,12,1,0,100.00,no,na
97,Parthiv Patel,58,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,['\x86'],not out,51,48,8,0,106.25,no,na
98,Vidyut Sivaramakrishnan,58,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,c Mota b Pathan,6,7,1,0,85.71,no,na
99,Suresh Raina,58,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,normal,not out,55,34,4,4,161.76,no,na
100,Parthiv Patel,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,['\x86'],c Kamran Akmal b Pathan,38,33,5,0,115.15,no,2-64 (Parthiv Patel
101,Vidyut Sivaramakrishnan,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Jadeja b Pathan,16,14,1,1,114.28,no,1-39 (Vidyut Sivaramakrishnan
102,Suresh Raina,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Jadeja b Watson,43,30,1,2,143.33,no,4-128 (Suresh Raina
103,Albie Morkel,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Kamran Akmal b Pathan,16,13,0,2,123.07,no,3-95 (Albie Morkel
104,MS Dhoni,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,['(c)'],not out,29,17,1,2,170.58,no,na
105,Chamara Kapugedera,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,c Asnodkar b Sohail Tanvir,8,12,0,0,66.66,no,5-148 (Chamara Kapugedera
106,S Badrinath,59,2007/08,Chennai Super Kings,Rajasthan Royals,no,no,normal,not out,6,2,1,0,300.00,no,na
107,Parthiv Patel,60,2009,Chennai Super Kings,Mumbai Indians,no,no,['\x86'],c Tendulkar b Malinga,0,2,0,0,0.00,no,na
108,Matthew Hayden,60,2009,Chennai Super Kings,Mumbai Indians,no,no,normal,c Khan b Jayasuriya,44,35,6,1,125.71,no,na
109,Suresh Raina,60,2009,Chennai Super Kings,Mumbai Indians,no,no,normal,c Raje b Bravo,8,9,1,0,88.88,no,na
110,Andrew Flintoff,60,2009,Chennai Super Kings,Mumbai Indians,no,no,normal,c & b Harbhajan Singh,24,23,2,1,104.34,no,na
