,player_name,match_no,season,base_team_name,vs_team,mvp_status,debut_status,bowling_no_of_over,bowl_no_of_maiden_over,bowl_runs_conceded,bowl_no_of_wickets,bowl_econ,bowl_wide_balls,bowl_no_balls
0,Brett Lee,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,4,0,35,1,8.75,0,1
1,Sreesanth,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,3,0,35,0,11.66,1,0
2,James Hopes,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,4,0,53,1,13.25,0,0
3,Irfan Pathan,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,4,0,47,2,11.75,0,0
4,Karan Goel,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,2,0,25,0,12.50,0,0
5,Piyush Chawla,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,1,0,19,0,19.00,0,0
6,Wilkin Mota,2,2007/08,Chennai Super Kings,Kings XI Punjab,no,no,2,0,24,1,12.00,2,0
7,Shaun Pollock,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,3,0,32,0,10.66,1,0
8,Ashish Nehra,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,4,0,35,1,8.75,2,1
9,Dhawal Kulkarni,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,3,0,25,1,8.33,0,1
10,Harbhajan Singh,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,2,0,14,0,7.00,0,0
11,Dwayne Bravo,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,3,0,36,0,12.00,1,0
12,Vikrant Yeligati,8,2007/08,Chennai Super Kings,Mumbai Indians,no,yes,1,0,16,0,16.00,1,0
13,Abhishek Nayar,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,1,0,14,0,14.00,0,0
14,Musavir Khote,8,2007/08,Chennai Super Kings,Mumbai Indians,no,no,3,0,29,2,9.66,0,0
15,Ashok Dinda,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,3,0,25,0,8.33,2,0
16,Ishant Sharma,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,3,0,26,0,8.66,1,1
17,Ajit Agarkar,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,3,0,19,1,6.33,0,0
18,David Hussey,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,1,0,10,0,10.00,0,0
19,Mohammad Hafeez,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,2,0,16,0,8.00,1,0
20,Murali Kartik,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,3,0,33,0,11.00,0,0
21,Laxmi Shukla,11,2007/08,Chennai Super Kings,Kolkata Knight Riders,no,no,2,0,18,0,9.00,0,0
22,Dale Steyn,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,4,0,40,0,10.00,3,0
23,Zaheer Khan,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,4,0,38,3,9.50,0,0
24,Praveen Kumar,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,4,0,29,1,7.25,0,0
25,Jacques Kallis,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,4,0,36,0,9.00,0,0
26,Balachandra Akhil,15,2007/08,Chennai Super Kings,Royal Challengers Bangalore,no,no,4,0,34,0,8.50,0,0
27,Glenn McGrath,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,4,0,21,1,5.25,0,0
28,Mohammad Asif,20,2007/08,Chennai Super Kings,Delhi Daredevils,no,no,4,0,34,1,8.50,1,0
