,match_no,base_team_name,season,date,vs_team,venue,toss,inning_1,inning_2,total_runs_made,total_runs_given,total_wickets_taken,total_wickets_lost,W_or_L
0,2,Chennai Super Kings,2007/08,19 April 2008,Kings XI Punjab,Punjab Cricket Association Stadium,win,bat,field,240,207,4,5,win
1,8,Chennai Super Kings,2007/08,23 April 2008,Mumbai Indians,MA Chidambaram Stadium,lost,bat,field,208,202,7,5,win
2,11,Chennai Super Kings,2007/08,26 April 2008,Kolkata Knight Riders,MA Chidambaram Stadium,lost,field,bat,152,147,9,1,win
3,15,Chennai Super Kings,2007/08,28 April 2008,Royal Challengers Bangalore,M Chinnaswamy Stadium,win,bat,field,178,165,10,5,win
4,20,Chennai Super Kings,2007/08,2 May 2008,Delhi Daredevils,MA Chidambaram Stadium,win,bat,field,169,172,2,6,lost
5,24,Chennai Super Kings,2007/08,4 May 2008,Rajasthan Royals,Sawai Mansingh Stadium,win,bat,field,109,110,2,10,lost
6,26,Chennai Super Kings,2007/08,6 May 2008,Deccan Chargers,MA Chidambaram Stadium,lost,bat,field,144,148,3,7,lost
7,28,Chennai Super Kings,2007/08,8 May 2008,Delhi Daredevils,Feroz Shah Kotla,win,field,bat,188,187,5,6,win
8,31,Chennai Super Kings,2007/08,10 May 2008,Kings XI Punjab,MA Chidambaram Stadium,lost,bat,field,181,163,9,4,win
9,36,Chennai Super Kings,2007/08,14 May 2008,Mumbai Indians,Wankhede Stadium,lost,bat,field,156,158,1,6,lost
10,41,Chennai Super Kings,2007/08,18 May 2008,Kolkata Knight Riders,Eden Gardens,lost,field,bat,55,149,5,0,win
11,46,Chennai Super Kings,2007/08,21 May 2008,Royal Challengers Bangalore,MA Chidambaram Stadium,lost,field,bat,112,126,8,8,lost
12,49,Chennai Super Kings,2007/08,24 May 2008,Rajasthan Royals,MA Chidambaram Stadium,lost,field,bat,201,211,5,7,lost
13,54,Chennai Super Kings,2007/08,27 May 2008,Deccan Chargers,Rajiv Gandhi International Stadium,lost,field,bat,148,147,8,3,win
14,58,Chennai Super Kings,2007/08,31 May 2008,Kings XI Punjab,Wankhede Stadium,lost,field,bat,116,112,8,1,win
15,59,Chennai Super Kings,2007/08,1 June 2008,Rajasthan Royals,Dr DY Patil Sports Academy,lost,bat,field,163,164,7,5,lost
16,60,Chennai Super Kings,2009,18 April 2009,Mumbai Indians,Newlands,win,field,bat,146,165,7,7,lost
17,64,Chennai Super Kings,2009,20 April 2009,Royal Challengers Bangalore,St George's Park,win,bat,field,179,87,10,5,win
18,68,Chennai Super Kings,2009,23 April 2009,Delhi Daredevils,Kingsmead,lost,field,bat,180,189,5,9,lost
19,72,Chennai Super Kings,2009,25 April 2009,Kolkata Knight Riders,Newlands,lost,bat,field,Record does not exist,Record does not exist,Record does not exist,Record does not exist,lost
20,75,Chennai Super Kings,2009,27 April 2009,Deccan Chargers,Kingsmead,lost,bat,field,165,169,4,6,lost
21,81,Chennai Super Kings,2009,30 April 2009,Rajasthan Royals,SuperSport Park,lost,bat,field,164,126,10,5,win
22,85,Chennai Super Kings,2009,2 May 2009,Delhi Daredevils,New Wanderers Stadium,lost,bat,field,163,145,8,10,win
23,88,Chennai Super Kings,2009,4 May 2009,Deccan Chargers,Buffalo Park,win,bat,field,178,100,10,3,win
24,93,Chennai Super Kings,2009,7 May 2009,Kings XI Punjab,SuperSport Park,win,bat,field,185,174,3,3,win
25,96,Chennai Super Kings,2009,9 May 2009,Rajasthan Royals,De Beers Diamond Oval,lost,field,bat,141,140,7,3,win
26,103,Chennai Super Kings,2009,14 May 2009,Royal Challengers Bangalore,Kingsmead,win,bat,field,129,132,8,10,lost
27,106,Chennai Super Kings,2009,16 May 2009,Mumbai Indians,St George's Park,lost,field,bat,151,147,5,3,win
28,110,Chennai Super Kings,2009,18 May 2009,Kolkata Knight Riders,SuperSport Park,win,bat,field,188,189,3,3,lost
29,113,Chennai Super Kings,2009,20 May 2009,Kings XI Punjab,Kingsmead,win,bat,field,116,92,8,9,win
30,117,Chennai Super Kings,2009,23 May 2009,Royal Challengers Bangalore,New Wanderers Stadium,lost,bat,field,146,149,4,5,lost
31,123,Chennai Super Kings,2009/10,14 March 2010,Deccan Chargers,MA Chidambaram Stadium,lost,field,bat,159,190,4,9,lost
32,126,Chennai Super Kings,2009/10,16 March 2010,Kolkata Knight Riders,Eden Gardens,win,bat,field,164,109,10,3,win
33,129,Chennai Super Kings,2009/10,19 March 2010,Delhi Daredevils,Feroz Shah Kotla,lost,field,bat,190,185,6,5,win
34,134,Chennai Super Kings,2009/10,21 March 2010,Kings XI Punjab,MA Chidambaram Stadium,win,field,bat,136,136,8,7,lost
35,136,Chennai Super Kings,2009/10,23 March 2010,Royal Challengers Bangalore,M Chinnaswamy Stadium,win,field,bat,135,171,5,7,lost
